IMEI,Make,Model,Colour,Year,Age,Gender
860305056527825,VOLKSWAGEN,POLO,GREY,2022.0,40.0,Female
860305056540844,VOLKSWAGEN,PASSAT 1.8 TSI HIGHLINE DSG,WHITE,2016.0,60.0,Male
860305056570213,TOYOTA,RUMION,GREY,2022.0,51.0,Female
860305056675236,NISSAN,NP200,WHITE,2019.0,34.0,Male
860305056680301,TOYOTA,COROLLA QUEST PLUS 1.8,BLUE,2022.0,61.0,Male
860305056710090,AUTO BRILLIANCE,BRILLIANCE MINIBUS,BLUE / BLOU,2014.0,57.0,Male
860305056737283,DATSUN,GO,SILVER / SILWER,2019.0,40.0,Male
860305056758305,NISSAN,NP 200,WHITE,2019.0,42.0,Male
860305056768908,SUZUKI,DZIRE 1.2 GA,WHITE,2023.0,54.0,Male
860305056774799,FORD,EVEREST,MAROON / BRUINROOI,2019.0,57.0,Male
860305056782008,TOYOTA,URBAN CRUISER,WHITE,2021.0,62.0,Female
860305056859640,SUZUKI,ERTIGA,RED / ROOI,2023.0,51.0,Female
860305056992730,SUZUKI,ERTIGA,GREY,2016.0,51.0,Male
860305056996681,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,WHITE,2022.0,70.0,Male
860305057044416,SUZUKI,ERTIGA 1.5 GA,BROWN,2023.0,46.0,Female
860305057047880,BAIC,BEIJING X55 1.5T DYNAMIC A/T,GREY,2023.0,44.0,Female
860305057060305,CHERY,TIGGO 4 PRO 1.5 COMFORT CVT,BROWN,2023.0,62.0,Female
860305057061196,RENAULT,SANDERO,WHITE / WIT,2014.0,47.0,Female
860305057082317,VOLKSWAGEN,POLO,SILVER,2018.0,35.0,Male
860305057083380,VOLKSWAGEN,POLO GP 1.2 TSI HIGHLINE (81KW),WHITE,2015.0,39.0,Female
863406070114140,SUZUKI,DZIRE,WHITE,2024.0,36.0,Male
864714060572550,VOLKSWAGEN,POLO 1.4 COMFORTLINE,BLUE,2020.0,66.0,Female
864714060587087,TOYOTA,HILUX,WHITE,2023.0,,
864714060590602,AUDI,A1 1.0T FSi S 3Dr,WHITE,2016.0,59.0,Male
864714060640191,HONDA,HR-V 1.5 COMFORT CVT,GREY,2016.0,66.0,Male
864714060645182,MERCEDES-BENZ,b200,RED,2012.0,50.0,Male
864714060649283,TOYOTA,COROLLA CROSS,GREY,2023.0,49.0,Female
864714060660231,MERCEDES-BENZ,A180 CDi,GREY,2015.0,31.0,Male
864714060705713,SUZUKI,ERTIGA,WHITE,2023.0,47.0,Male
864714060707123,KIA,RIO 1.2 LS 5DR,SILVER GREY,2021.0,38.0,Female
864714060727683,TOYOTA,COROLLA,WHITE / WIT,2022.0,31.0,Female
864714061746914,HAVAL,H6 2.0 GDIT,RED,2023.0,42.0,Female
868440060001657,TOYOTA,Rumion 1.5 TX MT,WHITE,2022.0,50.0,Male
868440060036992,HYUNDAI,GRAND i10,SILVER,2023.0,49.0,Female
868440060072948,MAHINDRA,UNKNOWN,WHITE,2023.0,68.0,Male
868440060075628,HYUNDAI,TUCSON,GREY,2023.0,49.0,Female
868440060082715,SUZUKI,CELERIO 1.0 GA,WHITE,2018.0,54.0,Female
868440060701058,VOLKSWAGEN,POLO,WHITE,2021.0,,
868440060732418,HYUNDAI,GRAND I10 BA,RED / ROOI,2018.0,33.0,Female
868440060753224,NISSAN,JUKE,GREY / GRYS,2013.0,41.0,Female
868440060758488,HYUNDAI,H100,WHITE,2024.0,44.0,Female
868440060763959,RENAULT,SANDERO,RED / ROOI,2019.0,44.0,Female
868440060766515,CHEVROLET,UTILITY,WHITE / WIT,2014.0,58.0,Female
868440060769451,HONDA,CRV 2.0,BRONZE,2004.0,62.0,Female
868440060812681,SUZUKI,GRAND VITARA,WHITE / WIT,2023.0,62.0,Female
868440060817151,FORD,RANGER D/CAB,WHITE,2016.0,39.0,Male
868440060820874,TOYOTA,HIACE,WHITE / WIT,2022.0,65.0,Male
868440060837258,KIA,CERATO,BLUE / BLOU,2013.0,54.0,Female
868440060852166,SUZUKI,ERTIGA,SILVER,2019.0,60.0,Male
868440060872081,HYUNDAI,I20 FACELIFT,WHITE / WIT,2014.0,32.0,Male
869716064055537,HYUNDAI,VENUE,BLUE,2020.0,52.0,Male
869716064069793,NISSAN,NP 200,WHITE,2018.0,33.0,Male
869716064108500,HONDA,BRIO MOBILIO,WHITE / WIT,2017.0,58.0,Male
869716064121552,VOLKSWAGEN,VW 240-POLO VIVO,RED,2017.0,34.0,Female
869716064166102,CHERY,TIGGO 4 PRO,BLUE / BLOU,2022.0,40.0,Female
869716064172068,VOLKSWAGEN,VW 25X - POLO VIVO,SILVER / SILWER,2022.0,48.0,Male
869716064193726,HYUNDAI,IX35 LM FACELIFT,WHITE,2015.0,44.0,Male
869716064207591,TOYOTA,AVANZA,WHITE / WIT,2009.0,43.0,Female
869716064217970,HYUNDAI,CRETA 1.5 PREMIUM,WHITE,2023.0,34.0,Male
869716065996044,VOLKSWAGEN,VW 25X - POLO VIVO,GREY / GRYS,2019.0,57.0,Male
869716066015893,MERCEDES-BENZ,X 156,WHITE / WIT,2019.0,63.0,Female
869716066031254,SUZUKI,SWIFT,BLUE,2023.0,35.0,Female
869716066042467,SUZUKI,SWIFT,WHITE / WIT,2023.0,36.0,Male
869716066047946,TOYOTA,AURIS,SILVER,2013.0,30.0,Male
869716066068504,SUZUKI,S-PRESSO,WHITE,2021.0,58.0,Female
869716066069627,FORD,RANGER,SILVER / SILWER,2015.0,46.0,Female
869716066087496,KIA,PEGAS 1.4 LX,GREY,2022.0,40.0,Male
869716066099020,FORD,FIGO,WHITE,2019.0,53.0,Female
869716066100828,MAZDA,BT-50,WHITE,2017.0,41.0,Male
869716066106924,GREAT WALL MOTORS,HAVAL H2 JOLION,BLUE / BLOU,2021.0,51.0,Male
869716066163172,TOYOTA,ETIOS 1.5 Xi,WHITE,2017.0,62.0,Female
869716066188237,TOYOTA,STARLET,WHITE / WIT,2022.0,30.0,Female
869716066195570,NISSAN,NAVARA,WHITE / WIT,2019.0,42.0,Female
869716067395211,RENAULT,KWID,RED / ROOI,2020.0,56.0,Female
869716067428558,NISSAN,NP 200,WHITE,2010.0,64.0,Female
869716067445602,SUZUKI,SWIFT,WHITE / WIT,2023.0,50.0,Male
869716067458019,TOYOTA,HILUX 2.4 D LWB,WHITE,2021.0,47.0,Male
869716067460031,HYUNDAI,GRAND I10 1.2 FLUID,GREY,2021.0,43.0,Male
869716067475138,TOYOTA,AVANZA,WHITE / WIT,2019.0,52.0,Female
869716067481284,RENAULT,CLIO IV,GREY,2014.0,35.0,Female
869716067528837,MERCEDES-BENZ,W212,Other,2015.0,59.0,Male
869716067552399,FORD,RANGER,WHITE,2019.0,40.0,Female
869716068330829,KIA,SONET,WHITE,2023.0,27.0,Female
869716068332064,VOLKSWAGEN,POLO,RED,2012.0,41.0,Female
869716068396481,HYUNDAI,H1 12 SEATER,WHITE /,2018.0,30.0,Male
869716068419028,TOYOTA,YARIS,RED,2019.0,33.0,Male
869716068434779,TOYOTA,ETIOS,WHITE,2019.0,40.0,Female
869716068439638,NISSAN,NP 200,WHITE,2020.0,48.0,Male
869716068490862,SUZUKI,CELERIO 1.0 GA,WHITE,2015.0,37.0,Male
869716068514612,BAIC,X55 1.5T DYNAMIC A/T,SILVER GREY / SILWERGRYS,2023.0,56.0,Male
869716068526848,HYUNDAI,TUCSON,WHITE,2020.0,51.0,Male
869716068548230,RENAULT,KWID,BLUE / BLOU,2022.0,61.0,Male
869716068563833,MAZDA,MAZDA CX-3,GREY,2023.0,40.0,Female
860305051131037,HYUNDAI,ACCENT,GREY,2022.0,56.0,Male
860305051136689,SUZUKI,SWIFT,WHITE,2021.0,56.0,Female
860305051215897,TOYOTA,FORTUNER,WHITE,2006.0,70.0,Male
860305051325589,HYUNDAI,i10,WHITE,2014.0,70.0,Female
860305051328666,CHERY,TIGGO,SILVER,2023.0,45.0,Male
860305051330316,ISUZU,D-MAX,WHITE / WIT,2022.0,42.0,Male
860305054929874,RENAULT,TRIBER,YELLOW / GEEL,2023.0,55.0,Female
860305054933272,MERCEDES-BENZ,W 205,WHITE / WIT,2018.0,37.0,Female
860305054935012,SUZUKI,SWIFT,RED / ROOI,2023.0,74.0,Male
860305054940632,HAVAL,JOLION,WHITE,2023.0,56.0,Female
860305054941275,NISSAN,NP 200,WHITE,2023.0,48.0,Female
860305054974375,TOYOTA,FORTUNER,WHITE / WIT,2008.0,60.0,Male
860305055016507,HONDA,AMAZE,SILVER / SILWER,2020.0,40.0,Male
860305055043196,VOLKSWAGEN,VW 27X - POLO,GREY / GRYS,2019.0,30.0,Male
860305056125588,TOYOTA,URBAN CRUISER,ORANGE,2022.0,46.0,Female
860305056131768,AUDI,AU 350-A3,RED / ROOI,2012.0,65.0,Male
860305056141221,MAZDA,MAZDA 3,PURPLE / PERS,2008.0,51.0,Male
860305056149034,SUZUKI,BALENO,RED,2023.0,36.0,Female
860305056151402,CHERY,TIGGO 4 PRO 1.5  URBAN,RED,2023.0,53.0,Female
860305056152319,TOYOTA,YARIS,SILVER / SILWER,2018.0,56.0,Female
860305056160544,MERCEDES-BENZ,W166,WHITE / WIT,2016.0,55.0,Male
860305056177563,SUZUKI,SWIFT,WHITE / WIT,2022.0,72.0,Male
860305056182167,VOLKSWAGEN,VW 27X - POLO,Other,2019.0,31.0,Male
860305056208111,VOLKSWAGEN,VW 251 - POLO,WHITE / WIT,2022.0,59.0,Male
860305056245915,VOLKSWAGEN,VW 240-POLO,GREY / GRYS,2008.0,44.0,Male
860305056249842,NISSAN,ALMERA,GREY,2003.0,56.0,Female
860305056284872,TOYOTA,AVANCE 1.5,WHITE,2013.0,43.0,Male
860305056285978,TOYOTA,AVANZA,WHITE / WIT,2021.0,36.0,Female
860305056463005,SUZUKI,S-PRESSO,WHITE,2023.0,27.0,Female
860305056468558,KIA,RIO,RED / ROOI,2022.0,39.0,Female
860305056473418,CHERY,TIGGO 4 PRO 1.5  URBAN,GREY,2023.0,66.0,Female
860305056491717,VOLKSWAGEN,POLO VIVO,SILVER,2023.0,71.0,Female
860305056494109,MERCEDES-BENZ,C200,SILVER,2009.0,37.0,Male
860305056507835,VOLKSWAGEN,VW 27X-POLO,WHITE,2022.0,39.0,Female
860305056559273,GREAT WALL MOTORS,HAVAL H2 JOLION,BLUE / BLOU,2022.0,59.0,Female
860305056585138,NISSAN,NP 200,WHITE / WIT,2022.0,56.0,Female
860305056709761,TOYOTA,HILUX,WHITE / WIT,2018.0,48.0,Male
860305056711064,SUZUKI,ERTIGA,WHITE,2023.0,41.0,Female
860305056742812,TOYOTA,COROLLA,GOLD / GOUD,2013.0,48.0,Male
860305056744214,FORD,RANGER,GREY / GRYS,2020.0,39.0,Male
860305056803598,NISSAN,NP 200,WHITE / WIT,2019.0,29.0,Male
860305056847371,TOYOTA,URBAN CRUISER 1.5 XI,BLUE,2022.0,38.0,Female
860305057001515,TOYOTA,HILUX,WHITE / WIT,2011.0,53.0,Male
860305057009203,KIA,K 2700 WORKHORSE P/U S/C,WHITE,2023.0,43.0,Female
860305057038053,MERCEDES-BENZ,W203,WHITE / WIT,2007.0,66.0,Male
860305057059828,TOYOTA,STARLET,WHITE / WIT,2022.0,51.0,Female
860305057064273,TOYOTA,COROLLA QUEST,WHITE,2019.0,63.0,Male
860305057064638,VOLKSWAGEN,POLO 1.0 TSI,WHITE,2023.0,47.0,Female
860305057066435,NISSAN,NP 200,WHITE / WIT,2013.0,45.0,Male
860305057083422,VOLKSWAGEN,VW 25X - POLO VIVO,BLUE / BLOU,2019.0,47.0,Male
864714060536704,RENAULT,SANDERO,BLUE / BLOU,2021.0,27.0,Female
864714060537900,NISSAN,MAGNITE,SILVER,2023.0,56.0,Female
864714060565208,ISUZU,D-MAX,WHITE / WIT,2023.0,50.0,Male
864714060571628,VOLKSWAGEN,VN 750-KOMBI,WHITE / WIT,2011.0,,
864714060582203,TOYOTA,COROLLA CROSS,WHITE,2022.0,58.0,Female
864714060586949,SUZUKI,S-PRESSO 1.0 GL 5MT,GRAY / GRYS,2022.0,36.0,Male
864714060588960,SUZUKI,VITARA BREZZA,ORANGE / ORANJE,2023.0,,
864714060615706,,,,,,
864714060617082,TOYOTA,HILUX,WHITE / WIT,2017.0,64.0,Male
864714060678183,KIA,SORENTO,SILVER,2012.0,53.0,Female
864714060688489,HAVAL,H6 GT 2.0T  SUPER LUXURY 4X4 DCT,WHITE,2023.0,56.0,Female
864714060705952,CHERY,TIGGO 7 PRO,WHITE,2023.0,44.0,Male
864714061746278,HONDA,WR-V,GREY,2021.0,37.0,Male
868440060000030,TOYOTA,STARLET,GREY,2022.0,44.0,Male
868440060055984,HYUNDAI,CRETA GS,BLUE,2018.0,54.0,Female
868440060056867,TOYOTA,HILUX,WHITE / WIT,2018.0,42.0,Male
868440060085700,TOYOTA,FORTUNER 2.4 GD6 R/B,WHITE,2017.0,73.0,Male
868440060102281,VOLKSWAGEN,VW24X-POLO,WHITE,2022.0,55.0,Male
868440060107256,NISSAN,NP 200,WHITE,2018.0,69.0,Female
868440060113379,MERCEDES-BENZ,A200 STYLE,GREY,2018.0,35.0,Male
868440060119400,VOLKSWAGEN,VW 27X - POLO,Other,2019.0,31.0,Male
868440060723250,NISSAN,ALMERA,WHITE / WIT,2022.0,41.0,Female
868440060745378,MAZDA,CX-5,GREY,2023.0,38.0,Female
868440060805438,FORD,RANGER 2.2TDCi L/R P/U S/C,WHITE,2019.0,38.0,Female
868440060852117,VOLKSWAGEN,POLO 1.0 TSI (2022 - 2023),SILVER,2021.0,33.0,Male
869716064053110,HYUNDAI,VENUE 1.0 TGDI MOTION,SILVER,2020.0,42.0,Female
869716064103881,NISSAN,X-TRAIL,GREY / GRYS,2018.0,52.0,Male
869716064108450,CHERY,TIGGO 8 PRO,BLUE,2022.0,38.0,Male
869716064111322,KIA,PICANTO 1.0 START,SILVER,2022.0,55.0,Male
869716064137178,SUZUKI,S-PRESSO,WHITE,2023.0,35.0,Female
869716064165872,MERCEDES-BENZ,W 205,Other,2016.0,57.0,Male
869716064180871,BMW,X3,WHITE / WIT,2010.0,45.0,Female
869716064191613,HYUNDAI,VENUE,RED / ROOI,2020.0,44.0,Female
869716064191894,SUZUKI,SWIFT 1.4,SILVER / SILWER,2013.0,61.0,Male
869716064201842,HYUNDAI,VENUE,WHITE / WIT,2020.0,52.0,Male
869716064220305,MAZDA,MAZDA CX-30,RED / ROOI,2023.0,,
869716065990179,TOYOTA,HiluxDC 2.8GD6 4X4 LGD AT,WHITE,2022.0,59.0,Male
869716065991961,HYUNDAI,GRAND i10,RED,2019.0,59.0,Male
869716066013377,HONDA,BR-V,WHITE / WIT,2016.0,46.0,Female
869716066019549,VOLKSWAGEN,VW 370 - GOLF,SILVER,2021.0,57.0,Male
869716066020976,TOYOTA,COROLLA,WHITE,2014.0,37.0,Male
869716066025264,NISSAN,NP 200,WHITE / WIT,2017.0,35.0,Male
869716066077091,FORD,RANGER,WHITE,2021.0,57.0,Male
869716066108409,SUZUKI,S-PRESSO,SILVER / SILWER,2021.0,48.0,Male
869716066117152,KIA,PICANTO 1.0 STREET A/T,SILVER,2023.0,36.0,Female
869716066117863,SUZUKI,BALENO,BLUE,2023.0,46.0,Male
869716066120446,TOYOTA,HILUX 2.4 GD S A/C P/U S/C,SILVER,2023.0,36.0,Female
869716066120750,HONDA,AMAZE 1.2 TREND,GREY,2023.0,39.0,Female
869716066129082,NISSAN,NP200,WHITE,2023.0,,
869716066132995,RENAULT,KWID,WHITE,2022.0,34.0,Male
869716066180374,MERCEDES-BENZ,A 180 CDI ELEGANCE A/T,WHITE,2017.0,58.0,Female
869716067368697,JEEP,CHEROKEE,SILVER / SILWER,2016.0,47.0,Female
869716067401464,HYUNDAI,VENUE,WHITE / WIT,2021.0,59.0,Male
869716067438649,FORD,RANGER,WHITE,2023.0,57.0,Male
869716067444175,KIA,SPORTAGE,GREY,2012.0,59.0,Male
869716067464587,MAHINDRA,PIK UP,BLACK / SWART,2023.0,57.0,Female
869716067516964,RENAULT,KADJAR 1.2T DYNAMIQUE,GOLD,2016.0,38.0,Female
869716067552407,HYUNDAI,I20 IB,ORANGE,2019.0,42.0,Female
869716068438754,SUZUKI,ERTIGA,WHITE,2021.0,41.0,Female
869716068469635,TOYOTA,HILUX,SILVER / SILWER,2019.0,69.0,Female
869716068518860,TOYOTA,FORTUNER,SILVER,2013.0,46.0,Male
860305051164863,CHEVROLET,UTILITY 1.4 A/C P/U S/C,WHITE,2015.0,41.0,Male
860305051165738,VOLKSWAGEN,VW 48X - PASSAT,WHITE / WIT,2016.0,62.0,Male
860305051176032,TOYOTA,VERSO 1.6 SX,SILVER,2012.0,45.0,Male
860305051231225,SUZUKI,S-PRESSO,SILVER / SILWER,2023.0,45.0,Female
860305051304311,OPEL,ASTRA,WHITE,2017.0,50.0,Female
860305051322370,HYUNDAI,i10 1.1 GLS/MOTION,BLACK,2012.0,63.0,Female
860305051332304,SUZUKI,SWIFT,GREY / GRYS,2019.0,60.0,Female
860305051335406,HYUNDAI,ATOS,GREY / GRYS,2021.0,34.0,Male
860305052209063,SUZUKI,ERTIGA 1.5 GA,BLUE,2023.0,57.0,Male
860305054930781,SUZUKI,JIMNY,BLUE,2018.0,69.0,Male
860305054932175,SUZUKI,SWIFT 1.2 GA,GREY,2023.0,43.0,Male
860305054965803,CHERY,TIGGO 4 PRO 1.5 COMFORT CVT,GREY,2023.0,66.0,Male
860305054969375,SUZUKI,SWIFT,SILVER / SILWER,2021.0,34.0,Female
860305055041810,SUZUKI,ERTIGA,WHITE / WIT,2022.0,67.0,Male
860305055053088,HYUNDAI,H100,WHITE,2019.0,50.0,Male
860305055054243,KIA,RIO 1.2 LS 5DR,BROWN,2023.0,30.0,Female
860305056143177,HYUNDAI,ACCENT,SILVER,2017.0,43.0,Female
860305056181292,TOYOTA,QUANTAM 2010 15 SEATER,WHITE,2016.0,43.0,Male
860305056182043,KIA,RIO 1.4 LX A/T 5DR,GREY,2020.0,55.0,Female
860305056186523,OPEL,CORSA PICK-UP,WHITE / WIT,2007.0,60.0,Male
860305056202742,VOLKSWAGEN,VW 250 - POLO,GREY / GRYS,2023.0,,
860305056227038,GWM,STEED 5 2.0 S S/C P/U,WHITE,2023.0,,
860305056262522,HYUNDAI,i20,WHITE / WIT,2012.0,59.0,Male
860305056284435,VOLKSWAGEN,POLO 1.4 TRENDLINE,SILVER,2015.0,63.0,Male
860305056294228,KIA,PEGAS 1.4 LX,BLUE,2023.0,57.0,Male
860305056462361,HYUNDAI,i20,GREY,2023.0,29.0,Female
860305056516596,TOYOTA,COROLLA QUEST 1.6,WHITE,2021.0,37.0,Male
860305056521539,FORD,ECOSPORT,WHITE / WIT,2017.0,58.0,Female
860305056521554,TOYOTA,AYGO,SILVER / SILWER,2015.0,35.0,Male
860305056541628,NISSAN,X-TRAIL,WHITE / WIT,2019.0,55.0,Male
860305056558556,NISSAN,QASHQAI 1.2T VISIA,WHITE,2016.0,51.0,Male
860305056560883,HYUNDAI,GETZ 1.4 HS,BLACK,2006.0,54.0,Female
860305056683206,TOYOTA,ETIOS,WHITE,2019.0,52.0,Male
860305056693874,HYUNDAI,GRAND i10 1.0 MOTION,WHITE,2023.0,45.0,Female
860305056744644,TOYOTA,LAND CRUISER PRADO,WHITE / WIT,2015.0,49.0,Female
860305056757760,HYUNDAI,CRETA,WHITE / WIT,2023.0,58.0,Female
860305056784442,RENAULT,SANDERO,WHITE / WIT,2019.0,39.0,Female
860305056803028,TOYOTA,ETIOS,SILVER / SILWER,2012.0,27.0,Male
860305056805635,NISSAN,MICRA - 5 DOOR HATCHBACK,BLUE / BLOU,2019.0,46.0,Male
860305056843065,ISUZU,KB,WHITE / WIT,2013.0,50.0,Male
860305056849633,HYUNDAI,GRAND i10,MAROON,2023.0,42.0,Female
860305056861265,RENAULT,KWID,WHITE,2023.0,,
860305056861448,SMART,W 453,WHITE / WIT,2018.0,53.0,Female
860305056998836,HYUNDAI,i20,WHITE / WIT,2023.0,67.0,Male
860305057001085,NISSAN,ALMERA 1.5 ACENTA,BROWN,2019.0,67.0,Male
860305057035448,ISUZU,D-MAX,WHITE / WIT,2023.0,32.0,Male
860305057039002,FORD,FIESTA,BRONZE / BRONS,2015.0,37.0,Female
860305057050363,HYUNDAI,i10,WHITE,2012.0,44.0,Female
860305057067672,CHEVROLET,AVEO 1.6 LS 5Dr,SILVER,2012.0,68.0,Female
861755076745055,MINI,MINI HATCHBACK,BLACK,2010.0,65.0,Male
864714060539468,KIA,PICANTO-JA,SILVER,2022.0,51.0,Male
864714060581726,CHRYSLER,SEBRING,BLACK,2008.0,69.0,Male
864714060582518,FORD,RANGER XLT,WHITE,2019.0,59.0,Male
864714060618114,SUZUKI,ERTIGA,BLUE / BLOU,2023.0,56.0,Male
864714060623866,ISUZU,D-MAX,WHITE,2018.0,29.0,Male
864714060633600,SUZUKI,GRAND VITARA 1.5 GL,SILVER,2023.0,27.0,Male
864714060699486,RENAULT,CLIO IV 900 T DYNAMIQUE 5DR (66KW),SILVER,2013.0,29.0,Female
864714060704419,SUZUKI,DZIRE,WHITE,2021.0,64.0,Male
864714060710358,VOLKSWAGEN,POLO VIVO 1.6 GT 3Dr,SILVER,2013.0,36.0,Female
864714060714475,NISSAN,TIIDA,WHITE,2010.0,43.0,Female
864714060720365,SUZUKI,S-PRESSO,GREY / GRYS,2023.0,62.0,Female
864714062316097,HYUNDAI,ACCENT,WHITE,2015.0,47.0,Male
864714062347217,TOYOTA,HILUX 2.4 GD-6 R/B RAIDER A/T P/U D/C,GREY,2023.0,55.0,Male
864714062352050,NISSAN,NAVARA 2.5 dCi  XE P/U D/C,UNKNOWN,2010.0,64.0,Male
864714062359154,FORD,RANGER,WHITE,2018.0,54.0,Female
864714062360129,SUZUKI,ERTIGA,SILVER,2024.0,50.0,Female
868440060032140,MERCEDES-BENZ,ML 320 CDI A/T,SILVER,2008.0,54.0,Female
868440060069217,KIA,RIO-YB,WHITE / WIT,2017.0,44.0,Female
868440060705455,RENAULT,TRIBER,YELLOW / GEEL,2022.0,46.0,Male
868440060727814,RENAULT,KWID,Other,2019.0,26.0,Male
868440060730214,ISUZU,D-MAX 250 HO HI-RIDE D/C P/U,WHITE,2021.0,38.0,Male
868440060741849,TOYOTA,HILUX,WHITE / WIT,2019.0,32.0,Male
868440060778221,FIAT,500,BLUE / BLOU,2019.0,40.0,Female
868440060780797,RENAULT,KIGER,SILVER,2023.0,60.0,Female
868440060784484,VOLKSWAGEN,VW 251 - POLO,SILVER,2013.0,56.0,Female
868440060825394,SUZUKI,SWIFT,WHITE,2023.0,56.0,Male
868440060833919,TOYOTA,STARLET 1.5 XS A/T,SILVER,2023.0,52.0,Female
868440060838876,NISSAN DIESEL,NP200,WHITE,2021.0,38.0,Female
869716064051783,CHERY,OMODA,BLACK,2023.0,55.0,Male
869716064098768,HONDA,CIVIC  1.8 EXECUTIVE 5DR,MAROON,2012.0,46.0,Male
869716064101562,PEUGEOT,3008,WHITE / WIT,2017.0,41.0,Female
869716064118020,KIA,RIO 1.2 LS 5DR,BLUE,2021.0,38.0,Male
869716064172845,KIA,PICANTO-JA,WHITE / WIT,2018.0,38.0,Female
869716065988538,TOYOTA,ETIOS,GREY / GRYS,2017.0,37.0,Female
869716066045593,NISSAN,NP 200,WHITE,2020.0,46.0,Male
869716066074627,NISSAN,MAGNITE,BLUE / BLOU,2022.0,54.0,Female
869716066082943,HYUNDAI,I20 FACELIFT,WHITE / WIT,2013.0,31.0,Male
869716066084162,LAND ROVER,DISCOVERY3 (TYPE LA),WHITE / WIT,2005.0,63.0,Male
869716066084477,BMW,X5 xDRIVE30d,WHITE,2023.0,,
869716066109837,TOYOTA,HILUX,WHITE / WIT,2010.0,62.0,Male
869716066112815,HYUNDAI,I20 IB,GREY,2015.0,28.0,Female
869716066123598,RENAULT,TRIBER,WHITE,2023.0,46.0,Female
869716066132599,RENAULT,TRIBER,SILVER,2023.0,57.0,Female
869716066136715,TOYOTA,COROLLA CROSS,WHITE,2023.0,56.0,Female
869716066152985,FORD,RANGER 3.2TDCi 3.2 WILDTRAK 4X4 A/T P/U D/C,SILVER,2015.0,31.0,Male
869716066162364,VOLKSWAGEN,VW 250 - POLO,Other,2018.0,36.0,Male
869716067363227,HYUNDAI,i20 1.4 A/T,WHITE,2010.0,65.0,Female
869716067373549,VOLKSWAGEN,POLO GP 1.0 TSI R-LINE DSG,WHITE,2017.0,47.0,Female
869716067375585,ISUZU,KB 250 D-TEQ LE P/U D/C,UNKNOWN,2014.0,35.0,Male
869716067404963,KIA,SONET,RED / ROOI,2023.0,41.0,Female
